trump_per,elect_county
73.00%,"Dunklin County, Missouri"
85.45%,"Franklin County, Missouri"
81.35%,"Gasconade County, Missouri"
69.70%,"Gentry County, Missouri"
78.50%,"Greene County, Missouri"
76.18%,"Grundy County, Missouri"
76.03%,"Harrison County, Missouri"
76.65%,"Henry County, Missouri"
71.68%,"Hickory County, Missouri"
77.51%,"Holt County, Missouri"
67.58%,"Howard County, Missouri"
78.64%,"Howell County, Missouri"
82.58%,"Iron County, Missouri"
80.85%,"Jackson County, Missouri"
65.79%,"Jasper County, Missouri"
79.10%,"Jefferson County, Missouri"
70.89%,"Johnson County, Missouri"
68.65%,"Knox County, Missouri"
71.51%,"Laclede County, Missouri"
53.55%,"Lafayette County, Missouri"
76.12%,"Lawrence County, Missouri"
73.42%,"Lewis County, Missouri"
82.66%,"Lincoln County, Missouri"
75.37%,"Linn County, Missouri"
73.03%,"Livingston County, Missouri"
65.56%,"McDonald County, Missouri"
79.22%,"Macon County, Missouri"
81.91%,"Madison County, Missouri"
60.60%,"Maries County, Missouri"
75.62%,"Marion County, Missouri"
64.96%,"Mercer County, Missouri"
70.68%,"Miller County, Missouri"
39.54%,"Mississippi County, Missouri"
64.65%,"Moniteau County, Missouri"
77.86%,"Monroe County, Missouri"
77.49%,"Montgomery County, Missouri"
76.36%,"Morgan County, Missouri"
75.97%,"New Madrid County, Missouri"
77.61%,"Newton County, Missouri"
83.42%,"Nodaway County, Missouri"
79.51%,"Oregon County, Missouri"
75.85%,"Osage County, Missouri"
77.95%,"Ozark County, Missouri"
81.16%,"Pemiscot County, Missouri"
76.10%,"Perry County, Missouri"
70.46%,"Pettis County, Missouri"
75.95%,"Phelps County, Missouri"
80.86%,"Pike County, Missouri"
76.87%,"Platte County, Missouri"
77.25%,"Polk County, Missouri"
82.90%,"Pulaski County, Missouri"
15.92%,"Putnam County, Missouri"
69.35%,"Ralls County, Missouri"
44.19%,"Randolph County, Missouri"
48.04%,"Ray County, Missouri"
75.20%,"Reynolds County, Missouri"
62.96%,"Ripley County, Missouri"
87.13%,"St. Charles County, Missouri"
57.24%,"St. Clair County, Missouri"
65.19%,"Ste. Genevieve County, Missouri"
70.71%,"St. Francois County, Missouri"
76.58%,"St. Louis County, Missouri"
76.75%,"Saline County, Missouri"
42.35%,"Schuyler County, Missouri"
86.57%,"Scotland County, Missouri"
73.24%,"Scott County, Missouri"
65.19%,"Shannon County, Missouri"
44.78%,"Shelby County, Missouri"
91.33%,"Stoddard County, Missouri"
32.16%,"Stone County, Missouri"
77.99%,"Sullivan County, Missouri"
67.25%,"Taney County, Missouri"
54.29%,"Texas County, Missouri"
62.72%,"Vernon County, Missouri"
72.92%,"Warren County, Missouri"
57.78%,"Washington County, Missouri"
49.46%,"Wayne County, Missouri"
73.23%,"Webster County, Missouri"
72.65%,"Worth County, Missouri"
81.25%,"Wright County, Missouri"
69.67%,"St. Louis city, Missouri"
75.05%,"Beaverhead County, Montana"
66.97%,"Big Horn County, Montana"
37.89%,"Blaine County, Montana"
81.57%,"Broadwater County, Montana"
53.80%,"Carbon County, Montana"
86.52%,"Carter County, Montana"
79.88%,"Cascade County, Montana"
66.34%,"Chouteau County, Montana"
84.05%,"Custer County, Montana"
72.87%,"Daniels County, Montana"
80.90%,"Dawson County, Montana"
66.51%,"Deer Lodge County, Montana"
80.74%,"Fallon County, Montana"
49.40%,"Fergus County, Montana"
65.86%,"Flathead County, Montana"
72.70%,"Gallatin County, Montana"
67.78%,"Garfield County, Montana"
38.78%,"Glacier County, Montana"
75.37%,"Golden Valley County, Montana"
76.07%,"Granite County, Montana"
68.47%,"Hill County, Montana"
74.08%,"Jefferson County, Montana"
79.37%,"Judith Basin County, Montana"
69.87%,"Lake County, Montana"
74.89%,"Lewis and Clark County, Montana"
86.30%,"Liberty County, Montana"
59.80%,"Lincoln County, Montana"
69.88%,"McCone County, Montana"
84.38%,"Madison County, Montana"
90.11%,"Meagher County, Montana"
91.03%,"Mineral County, Montana"
87.22%,"Missoula County, Montana"
80.19%,"Musselshell County, Montana"
74.56%,"Park County, Montana"
85.64%,"Petroleum County, Montana"
87.40%,"Phillips County, Montana"
70.44%,"Pondera County, Montana"
66.99%,"Powder River County, Montana"
78.39%,"Powell County, Montana"
66.52%,"Prairie County, Montana"
81.03%,"Ravalli County, Montana"
87.57%,"Richland County, Montana"
85.11%,"Roosevelt County, Montana"
79.01%,"Rosebud County, Montana"
79.82%,"Sanders County, Montana"
68.44%,"Sheridan County, Montana"
77.61%,"Silver Bow County, Montana"
84.10%,"Stillwater County, Montana"
55.49%,"Sweet Grass County, Montana"
71.52%,"Teton County, Montana"
69.94%,"Toole County, Montana"
82.80%,"Treasure County, Montana"
74.38%,"Valley County, Montana"
65.08%,"Wheatland County, Montana"
46.53%,"Wibaux County, Montana"
86.72%,"Yellowstone County, Montana"
72.94%,"Adams County, Nebraska"
81.22%,"Antelope County, Nebraska"
84.43%,"Arthur County, Nebraska"
82.72%,"Banner County, Nebraska"
64.27%,"Blaine County, Nebraska"
81.75%,"Boone County, Nebraska"
84.61%,"Box Butte County, Nebraska"
79.20%,"Boyd County, Nebraska"
93.15%,"Brown County, Nebraska"
78.20%,"Buffalo County, Nebraska"
66.28%,"Burt County, Nebraska"
76.76%,"Butler County, Nebraska"
82.30%,"Cass County, Nebraska"
92.35%,"Cedar County, Nebraska"
84.44%,"Chase County, Nebraska"
85.86%,"Cherry County, Nebraska"
85.75%,"Cheyenne County, Nebraska"
77.21%,"Clay County, Nebraska"
69.59%,"Colfax County, Nebraska"
65.72%,"Cuming County, Nebraska"
77.70%,"Custer County, Nebraska"
81.19%,"Dakota County, Nebraska"
89.11%,"Dawes County, Nebraska"
80.50%,"Dawson County, Nebraska"
78.33%,"Deuel County, Nebraska"
46.58%,"Dixon County, Nebraska"
76.51%,"Dodge County, Nebraska"
88.69%,"Douglas County, Nebraska"
84.55%,"Dundy County, Nebraska"
89.86%,"Fillmore County, Nebraska"
75.37%,"Franklin County, Nebraska"
78.61%,"Frontier County, Nebraska"
82.55%,"Furnas County, Nebraska"
78.61%,"Gage County, Nebraska"
68.14%,"Garden County, Nebraska"
79.38%,"Garfield County, Nebraska"
66.40%,"Gosper County, Nebraska"
73.82%,"Grant County, Nebraska"
84.77%,"Greeley County, Nebraska"
83.14%,"Hall County, Nebraska"
85.25%,"Hamilton County, Nebraska"
77.34%,"Harlan County, Nebraska"
79.55%,"Hayes County, Nebraska"
83.22%,"Hitchcock County, Nebraska"
73.21%,"Holt County, Nebraska"
86.63%,"Hooker County, Nebraska"
59.42%,"Howard County, Nebraska"
57.40%,"Jefferson County, Nebraska"
70.64%,"Johnson County, Nebraska"
71.62%,"Kearney County, Nebraska"
70.30%,"Keith County, Nebraska"
85.46%,"Keya Paha County, Nebraska"
73.60%,"Kimball County, Nebraska"
84.91%,"Knox County, Nebraska"
79.08%,"Lancaster County, Nebraska"
76.27%,"Lincoln County, Nebraska"
88.89%,"Logan County, Nebraska"
49.93%,"Loup County, Nebraska"
81.49%,"McPherson County, Nebraska"
69.67%,"Madison County, Nebraska"
71.52%,"Merrick County, Nebraska"
78.25%,"Morrill County, Nebraska"
82.14%,"Nance County, Nebraska"
74.90%,"Nemaha County, Nebraska"
71.58%,"Nuckolls County, Nebraska"
41.75%,"Otoe County, Nebraska"
62.45%,"Pawnee County, Nebraska"
73.02%,"Perkins County, Nebraska"
77.78%,"Phelps County, Nebraska"
84.66%,"Pierce County, Nebraska"
70.28%,"Platte County, Nebraska"
75.76%,"Polk County, Nebraska"
78.38%,"Red Willow County, Nebraska"
67.36%,"Richardson County, Nebraska"
59.04%,"Rock County, Nebraska"
67.99%,"Saline County, Nebraska"
70.79%,"Sarpy County, Nebraska"
63.17%,"Saunders County, Nebraska"
45.17%,"Scotts Bluff County, Nebraska"
72.17%,"Seward County, Nebraska"
52.47%,"Sheridan County, Nebraska"
56.05%,"Sherman County, Nebraska"
50.36%,"Sioux County, Nebraska"
41.08%,"Stanton County, Nebraska"
52.12%,"Thayer County, Nebraska"
37.97%,"Thomas County, Nebraska"
47.48%,"Thurston County, Nebraska"
45.95%,"Valley County, Nebraska"
50.53%,"Washington County, Nebraska"
42.80%,"Wayne County, Nebraska"
48.85%,"Webster County, Nebraska"
45.28%,"Wheeler County, Nebraska"
42.51%,"York County, Nebraska"
40.79%,"Churchill County, Nevada"
32.22%,"Clark County, Nevada"
58.37%,"Douglas County, Nevada"
45.67%,"Elko County, Nevada"
20.70%,"Esmeralda County, Nevada"
48.38%,"Eureka County, Nevada"
22.65%,"Humboldt County, Nevada"
54.64%,"Lander County, Nevada"
30.14%,"Lincoln County, Nevada"
38.55%,"Lyon County, Nevada"
53.07%,"Mineral County, Nevada"
50.38%,"Nye County, Nevada"
65.53%,"Pershing County, Nevada"
37.80%,"Storey County, Nevada"
55.63%,"Washoe County, Nevada"
41.91%,"White Pine County, Nevada"
62.94%,"Carson City, Nevada"
30.81%,"Belknap County, New Hampshire"
60.68%,"Carroll County, New Hampshire"
34.79%,"Cheshire County, New Hampshire"
71.79%,"Coos County, New Hampshire"
63.84%,"Grafton County, New Hampshire"
39.86%,"Hillsborough County, New Hampshire"
48.74%,"Merrimack County, New Hampshire"
66.95%,"Rockingham County, New Hampshire"
68.33%,"Strafford County, New Hampshire"
36.20%,"Sullivan County, New Hampshire"
67.22%,"Atlantic County, New Jersey"
41.57%,"Bergen County, New Jersey"
32.67%,"Burlington County, New Jersey"
59.01%,"Camden County, New Jersey"
49.35%,"Cape May County, New Jersey"
70.85%,"Cumberland County, New Jersey"
66.50%,"Essex County, New Jersey"
31.92%,"Gloucester County, New Jersey"
48.01%,"Hudson County, New Jersey"
23.53%,"Hunterdon County, New Jersey"
27.25%,"Mercer County, New Jersey"
59.87%,"Middlesex County, New Jersey"
62.20%,"Monmouth County, New Jersey"
24.26%,"Morris County, New Jersey"
66.01%,"Ocean County, New Jersey"
42.49%,"Passaic County, New Jersey"
61.30%,"Salem County, New Jersey"
21.59%,"Somerset County, New Jersey"
20.26%,"Sussex County, New Jersey"
58.45%,"Union County, New Jersey"
38.37%,"Warren County, New Jersey"
17.95%,"Bernalillo County, New Mexico"
59.12%,"Catron County, New Mexico"
71.92%,"Chaves County, New Mexico"
48.17%,"Cibola County, New Mexico"
35.20%,"Colfax County, New Mexico"
68.45%,"Curry County, New Mexico"
9.59%,"De Baca County, New Mexico"
49.03%,"DoÒa Ana County, New Mexico"
64.46%,"Eddy County, New Mexico"
53.76%,"Grant County, New Mexico"
59.57%,"Guadalupe County, New Mexico"
57.31%,"Harding County, New Mexico"
60.86%,"Hidalgo County, New Mexico"
46.45%,"Lea County, New Mexico"
46.80%,"Lincoln County, New Mexico"
49.97%,"Los Alamos County, New Mexico"
61.94%,"Luna County, New Mexico"
48.39%,"McKinley County, New Mexico"
45.35%,"Mora County, New Mexico"
48.25%,"Otero County, New Mexico"
50.41%,"Quay County, New Mexico"
65.22%,"Rio Arriba County, New Mexico"
65.35%,"Roosevelt County, New Mexico"
61.19%,"Sandoval County, New Mexico"
66.78%,"San Juan County, New Mexico"
64.56%,"San Miguel County, New Mexico"
58.22%,"Santa Fe County, New Mexico"
17.91%,"Sierra County, New Mexico"
67.07%,"Socorro County, New Mexico"
61.25%,"Taos County, New Mexico"
54.40%,"Torrance County, New Mexico"
40.25%,"Union County, New Mexico"
60.67%,"Valencia County, New Mexico"
45.94%,"Albany County, New York"
9.97%,"Allegany County, New York"
57.24%,"Bronx County, New York"
57.81%,"Broome County, New York"
40.78%,"Cattaraugus County, New York"
51.07%,"Cayuga County, New York"
51.25%,"Chautauqua County, New York"
69.26%,"Chemung County, New York"
58.63%,"Chenango County, New York"
53.35%,"Clinton County, New York"
57.12%,"Columbia County, New York"
22.10%,"Cortland County, New York"
48.39%,"Delaware County, New York"
57.18%,"Dutchess County, New York"
46.11%,"Erie County, New York"
52.48%,"Essex County, New York"
49.08%,"Franklin County, New York"
44.25%,"Fulton County, New York"
64.49%,"Genesee County, New York"
61.49%,"Greene County, New York"
52.79%,"Hamilton County, New York"
65.39%,"Herkimer County, New York"
52.48%,"Jefferson County, New York"
55.17%,"Kings County, New York"
60.95%,"Lewis County, New York"
25.56%,"Livingston County, New York"
42.73%,"Madison County, New York"
51.81%,"Monroe County, New York"
57.01%,"Montgomery County, New York"
59.93%,"Nassau County, New York"
32.14%,"New York County, New York"
73.00%,"Niagara County, New York"
57.72%,"Oneida County, New York"
55.20%,"Onondaga County, New York"
76.76%,"Ontario County, New York"
72.67%,"Orange County, New York"
43.10%,"Orleans County, New York"
71.07%,"Oswego County, New York"
77.25%,"Otsego County, New York"
61.35%,"Putnam County, New York"
37.06%,"Queens County, New York"
54.06%,"Rensselaer County, New York"
63.10%,"Richmond County, New York"
41.14%,"Rockland County, New York"
68.39%,"St. Lawrence County, New York"
58.49%,"Saratoga County, New York"
74.13%,"Schenectady County, New York"
71.41%,"Schoharie County, New York"
71.04%,"Schuyler County, New York"
54.76%,"Seneca County, New York"
67.63%,"Steuben County, New York"
43.53%,"Suffolk County, New York"
77.28%,"Sullivan County, New York"
56.04%,"Tioga County, New York"
74.68%,"Tompkins County, New York"
64.33%,"Ulster County, New York"
60.40%,"Warren County, New York"
59.61%,"Washington County, New York"
40.67%,"Wayne County, New York"
73.01%,"Westchester County, New York"
59.36%,"Wyoming County, New York"
73.42%,"Yates County, New York"
72.61%,"Alamance County, North Carolina"
58.98%,"Alexander County, North Carolina"
18.52%,"Alleghany County, North Carolina"
33.34%,"Anson County, North Carolina"
43.36%,"Ashe County, North Carolina"
54.58%,"Avery County, North Carolina"
64.79%,"Beaufort County, North Carolina"
53.51%,"Bertie County, North Carolina"
79.63%,"Bladen County, North Carolina"
50.15%,"Brunswick County, North Carolina"
54.39%,"Buncombe County, North Carolina"
38.66%,"Burke County, North Carolina"
35.99%,"Cabarrus County, North Carolina"
60.68%,"Caldwell County, North Carolina"
62.49%,"Camden County, North Carolina"
62.55%,"Carteret County, North Carolina"
30.50%,"Caswell County, North Carolina"
43.01%,"Catawba County, North Carolina"
56.09%,"Chatham County, North Carolina"
67.10%,"Cherokee County, North Carolina"
53.91%,"Chowan County, North Carolina"
63.96%,"Clay County, North Carolina"
58.36%,"Cleveland County, North Carolina"
55.22%,"Columbus County, North Carolina"
52.37%,"Craven County, North Carolina"
72.63%,"Cumberland County, North Carolina"
74.23%,"Currituck County, North Carolina"
69.42%,"Dare County, North Carolina"
61.42%,"Davidson County, North Carolina"
49.56%,"Davie County, North Carolina"
33.41%,"Duplin County, North Carolina"
78.32%,"Durham County, North Carolina"
61.75%,"Edgecombe County, North Carolina"
63.40%,"Forsyth County, North Carolina"
49.34%,"Franklin County, North Carolina"
50.27%,"Gaston County, North Carolina"
36.43%,"Gates County, North Carolina"
65.64%,"Graham County, North Carolina"
23.02%,"Granville County, North Carolina"
62.39%,"Greene County, North Carolina"
47.64%,"Guilford County, North Carolina"
63.97%,"Halifax County, North Carolina"
62.82%,"Harnett County, North Carolina"
57.59%,"Haywood County, North Carolina"
44.96%,"Henderson County, North Carolina"
62.84%,"Hertford County, North Carolina"
77.27%,"Hoke County, North Carolina"
54.21%,"Hyde County, North Carolina"
51.44%,"Iredell County, North Carolina"
63.96%,"Jackson County, North Carolina"
67.20%,"Johnston County, North Carolina"
72.89%,"Jones County, North Carolina"
57.57%,"Lee County, North Carolina"
45.20%,"Lenoir County, North Carolina"
73.98%,"Lincoln County, North Carolina"
76.53%,"McDowell County, North Carolina"
74.20%,"Macon County, North Carolina"
59.46%,"Madison County, North Carolina"
59.87%,"Martin County, North Carolina"
56.94%,"Mecklenburg County, North Carolina"
63.96%,"Mitchell County, North Carolina"
36.96%,"Montgomery County, North Carolina"
37.89%,"Moore County, North Carolina"
32.62%,"Nash County, North Carolina"
41.86%,"New Hanover County, North Carolina"
47.00%,"Northampton County, North Carolina"
54.91%,"Onslow County, North Carolina"
76.56%,"Orange County, North Carolina"
46.31%,"Pamlico County, North Carolina"
79.63%,"Pasquotank County, North Carolina"
64.92%,"Pender County, North Carolina"
74.96%,"Perquimans County, North Carolina"
60.08%,"Person County, North Carolina"
47.78%,"Pitt County, North Carolina"
83.11%,"Polk County, North Carolina"
72.21%,"Randolph County, North Carolina"
81.68%,"Richmond County, North Carolina"
85.26%,"Robeson County, North Carolina"
69.33%,"Rockingham County, North Carolina"
50.42%,"Rowan County, North Carolina"
68.87%,"Rutherford County, North Carolina"
69.81%,"Sampson County, North Carolina"
72.45%,"Scotland County, North Carolina"
79.72%,"Stanly County, North Carolina"
64.81%,"Stokes County, North Carolina"
85.35%,"Surry County, North Carolina"
72.81%,"Swain County, North Carolina"
84.18%,"Transylvania County, North Carolina"
54.95%,"Tyrrell County, North Carolina"
80.68%,"Union County, North Carolina"
67.92%,"Vance County, North Carolina"
81.84%,"Wake County, North Carolina"
81.44%,"Warren County, North Carolina"
69.74%,"Washington County, North Carolina"
84.17%,"Watauga County, North Carolina"
74.10%,"Wayne County, North Carolina"
76.95%,"Wilkes County, North Carolina"
79.69%,"Wilson County, North Carolina"
73.51%,"Yadkin County, North Carolina"
81.40%,"Yancey County, North Carolina"
72.81%,"Adams County, North Dakota"
63.63%,"Barnes County, North Dakota"
60.51%,"Benson County, North Dakota"
82.53%,"Billings County, North Dakota"
71.26%,"Bottineau County, North Dakota"
70.94%,"Bowman County, North Dakota"
61.63%,"Burke County, North Dakota"
52.18%,"Burleigh County, North Dakota"
77.93%,"Cass County, North Dakota"
63.79%,"Cavalier County, North Dakota"
33.04%,"Dickey County, North Dakota"
55.01%,"Divide County, North Dakota"
83.20%,"Dunn County, North Dakota"
21.75%,"Eddy County, North Dakota"
84.54%,"Emmons County, North Dakota"
80.21%,"Foster County, North Dakota"
54.57%,"Golden Valley County, North Dakota"
67.48%,"Grand Forks County, North Dakota"
64.47%,"Grant County, North Dakota"
58.57%,"Griggs County, North Dakota"
65.84%,"Hettinger County, North Dakota"
69.25%,"Kidder County, North Dakota"
76.23%,"LaMoure County, North Dakota"
80.08%,"Logan County, North Dakota"
76.34%,"McHenry County, North Dakota"
66.89%,"McIntosh County, North Dakota"
71.32%,"McKenzie County, North Dakota"
57.16%,"McLean County, North Dakota"
38.71%,"Mercer County, North Dakota"
79.31%,"Morton County, North Dakota"
67.88%,"Mountrail County, North Dakota"
74.49%,"Nelson County, North Dakota"
62.01%,"Oliver County, North Dakota"
70.80%,"Pembina County, North Dakota"
69.98%,"Pierce County, North Dakota"
57.55%,"Ramsey County, North Dakota"
68.38%,"Ransom County, North Dakota"
74.40%,"Renville County, North Dakota"
68.68%,"Richland County, North Dakota"
69.39%,"Rolette County, North Dakota"
70.93%,"Sargent County, North Dakota"
30.84%,"Sheridan County, North Dakota"
78.79%,"Sioux County, North Dakota"
64.50%,"Slope County, North Dakota"
55.60%,"Stark County, North Dakota"
52.55%,"Steele County, North Dakota"
61.19%,"Stutsman County, North Dakota"
71.77%,"Towner County, North Dakota"
34.67%,"Traill County, North Dakota"
64.85%,"Walsh County, North Dakota"
76.00%,"Ward County, North Dakota"
60.69%,"Wells County, North Dakota"
59.66%,"Williams County, North Dakota"
69.10%,"Adams County, Ohio"
43.03%,"Allen County, Ohio"
67.52%,"Ashland County, Ohio"
71.09%,"Ashtabula County, Ohio"
72.18%,"Athens County, Ohio"
66.83%,"Auglaize County, Ohio"
76.28%,"Belmont County, Ohio"
66.19%,"Brown County, Ohio"
79.26%,"Butler County, Ohio"
65.47%,"Carroll County, Ohio"
72.65%,"Champaign County, Ohio"
65.94%,"Clark County, Ohio"
66.85%,"Clermont County, Ohio"
55.53%,"Clinton County, Ohio"
70.29%,"Columbiana County, Ohio"
62.15%,"Coshocton County, Ohio"
74.19%,"Crawford County, Ohio"
47.82%,"Cuyahoga County, Ohio"
38.66%,"Darke County, Ohio"
67.56%,"Defiance County, Ohio"
46.80%,"Delaware County, Ohio"
64.58%,"Erie County, Ohio"
60.22%,"Fairfield County, Ohio"
73.00%,"Fayette County, Ohio"
80.69%,"Franklin County, Ohio"
70.55%,"Fulton County, Ohio"
71.51%,"Gallia County, Ohio"
48.39%,"Geauga County, Ohio"
68.60%,"Greene County, Ohio"
72.42%,"Guernsey County, Ohio"
65.13%,"Hamilton County, Ohio"
75.59%,"Hancock County, Ohio"
56.98%,"Hardin County, Ohio"
71.92%,"Harrison County, Ohio"
68.12%,"Henry County, Ohio"
69.21%,"Highland County, Ohio"
66.61%,"Hocking County, Ohio"
52.70%,"Holmes County, Ohio"
75.10%,"Huron County, Ohio"
79.97%,"Jackson County, Ohio"
66.63%,"Jefferson County, Ohio"
61.59%,"Knox County, Ohio"
58.36%,"Lake County, Ohio"
66.66%,"Lawrence County, Ohio"
62.00%,"Licking County, Ohio"
78.53%,"Logan County, Ohio"
56.39%,"Lorain County, Ohio"
43.82%,"Lucas County, Ohio"
51.19%,"Madison County, Ohio"
65.12%,"Mahoning County, Ohio"
66.34%,"Marion County, Ohio"
76.03%,"Medina County, Ohio"
70.44%,"Meigs County, Ohio"
66.47%,"Mercer County, Ohio"
68.64%,"Miami County, Ohio"
65.13%,"Monroe County, Ohio"
69.11%,"Montgomery County, Ohio"
50.95%,"Morgan County, Ohio"
70.66%,"Morrow County, Ohio"
73.48%,"Muskingum County, Ohio"
85.59%,"Noble County, Ohio"
81.33%,"Ottawa County, Ohio"
88.82%,"Paulding County, Ohio"
83.50%,"Perry County, Ohio"
76.03%,"Pickaway County, Ohio"
75.85%,"Pike County, Ohio"
69.33%,"Portage County, Ohio"
72.34%,"Preble County, Ohio"
74.20%,"Putnam County, Ohio"
60.61%,"Richland County, Ohio"
77.54%,"Ross County, Ohio"
89.32%,"Sandusky County, Ohio"
57.14%,"Scioto County, Ohio"
79.06%,"Seneca County, Ohio"
58.93%,"Shelby County, Ohio"
78.94%,"Stark County, Ohio"
74.06%,"Summit County, Ohio"
74.82%,"Trumbull County, Ohio"
74.24%,"Tuscarawas County, Ohio"
75.23%,"Union County, Ohio"
87.44%,"Van Wert County, Ohio"
88.17%,"Vinton County, Ohio"
73.75%,"Warren County, Ohio"
78.27%,"Washington County, Ohio"
77.70%,"Wayne County, Ohio"
83.05%,"Williams County, Ohio"
78.16%,"Wood County, Ohio"
73.23%,"Wyandot County, Ohio"
88.01%,"Adair County, Oklahoma"
78.09%,"Alfalfa County, Oklahoma"
74.85%,"Atoka County, Oklahoma"
76.47%,"Beaver County, Oklahoma"
81.24%,"Beckham County, Oklahoma"
77.01%,"Blaine County, Oklahoma"
72.45%,"Bryan County, Oklahoma"
84.13%,"Caddo County, Oklahoma"
74.32%,"Canadian County, Oklahoma"
76.40%,"Carter County, Oklahoma"
77.60%,"Cherokee County, Oklahoma"
77.41%,"Choctaw County, Oklahoma"
71.84%,"Cimarron County, Oklahoma"
77.11%,"Cleveland County, Oklahoma"
78.10%,"Coal County, Oklahoma"
80.70%,"Comanche County, Oklahoma"
69.13%,"Cotton County, Oklahoma"
86.50%,"Craig County, Oklahoma"
76.58%,"Creek County, Oklahoma"
73.51%,"Custer County, Oklahoma"
75.53%,"Delaware County, Oklahoma"
62.12%,"Dewey County, Oklahoma"
76.12%,"Ellis County, Oklahoma"
78.38%,"Garfield County, Oklahoma"
70.96%,"Garvin County, Oklahoma"
51.69%,"Grady County, Oklahoma"
64.11%,"Grant County, Oklahoma"
66.30%,"Greer County, Oklahoma"
71.37%,"Harmon County, Oklahoma"
74.31%,"Harper County, Oklahoma"
59.98%,"Haskell County, Oklahoma"
73.86%,"Hughes County, Oklahoma"
70.34%,"Jackson County, Oklahoma"
70.13%,"Jefferson County, Oklahoma"
79.88%,"Johnston County, Oklahoma"
87.94%,"Kay County, Oklahoma"
75.66%,"Kingfisher County, Oklahoma"
69.87%,"Kiowa County, Oklahoma"
75.42%,"Latimer County, Oklahoma"
79.20%,"Le Flore County, Oklahoma"
79.97%,"Lincoln County, Oklahoma"
71.84%,"Logan County, Oklahoma"
58.40%,"Love County, Oklahoma"
73.50%,"McClain County, Oklahoma"
71.19%,"McCurtain County, Oklahoma"
83.21%,"McIntosh County, Oklahoma"
80.35%,"Major County, Oklahoma"
83.57%,"Marshall County, Oklahoma"
72.65%,"Mayes County, Oklahoma"
28.59%,"Murray County, Oklahoma"
43.41%,"Muskogee County, Oklahoma"
42.92%,"Noble County, Oklahoma"
51.71%,"Nowata County, Oklahoma"
58.64%,"Okfuskee County, Oklahoma"
72.07%,"Oklahoma County, Oklahoma"
58.84%,"Okmulgee County, Oklahoma"
48.21%,"Osage County, Oklahoma"
66.43%,"Ottawa County, Oklahoma"
67.45%,"Pawnee County, Oklahoma"
76.41%,"Payne County, Oklahoma"
75.43%,"Pittsburg County, Oklahoma"
31.04%,"Pontotoc County, Oklahoma"
51.15%,"Pottawatomie County, Oklahoma"
60.14%,"Pushmataha County, Oklahoma"
62.38%,"Roger Mills County, Oklahoma"
68.98%,"Rogers County, Oklahoma"
78.68%,"Seminole County, Oklahoma"
36.57%,"Sequoyah County, Oklahoma"
41.19%,"Stephens County, Oklahoma"
59.72%,"Texas County, Oklahoma"
71.77%,"Tillman County, Oklahoma"
49.04%,"Tulsa County, Oklahoma"
67.64%,"Wagoner County, Oklahoma"
17.62%,"Washington County, Oklahoma"
49.51%,"Washita County, Oklahoma"
73.86%,"Woods County, Oklahoma"
48.91%,"Woodward County, Oklahoma"
64.23%,"Baker County, Oregon"
67.21%,"Benton County, Oregon"
67.63%,"Clackamas County, Oregon"
50.85%,"Clatsop County, Oregon"
32.71%,"Columbia County, Oregon"
73.61%,"Coos County, Oregon"
50.07%,"Crook County, Oregon"
66.29%,"Curry County, Oregon"
40.03%,"Deschutes County, Oregon"
74.48%,"Douglas County, Oregon"
58.30%,"Gilliam County, Oregon"
82.77%,"Grant County, Oregon"
52.91%,"Harney County, Oregon"
71.54%,"Hood River County, Oregon"
70.70%,"Jackson County, Oregon"
47.84%,"Jefferson County, Oregon"
66.71%,"Josephine County, Oregon"
67.33%,"Klamath County, Oregon"
73.86%,"Lake County, Oregon"
65.16%,"Lane County, Oregon"
46.55%,"Lincoln County, Oregon"
43.35%,"Linn County, Oregon"
71.76%,"Malheur County, Oregon"
73.13%,"Marion County, Oregon"
65.38%,"Morrow County, Oregon"
64.09%,"Multnomah County, Oregon"
67.24%,"Polk County, Oregon"
57.05%,"Sherman County, Oregon"
46.57%,"Tillamook County, Oregon"
37.41%,"Umatilla County, Oregon"
70.04%,"Union County, Oregon"
48.76%,"Wallowa County, Oregon"
64.37%,"Wasco County, Oregon"
70.06%,"Washington County, Oregon"
71.46%,"Wheeler County, Oregon"
84.18%,"Yamhill County, Oregon"
69.50%,"Adams County, Pennsylvania"
73.70%,"Allegheny County, Pennsylvania"
66.05%,"Armstrong County, Pennsylvania"
78.34%,"Beaver County, Pennsylvania"
79.16%,"Bedford County, Pennsylvania"
46.82%,"Berks County, Pennsylvania"
57.35%,"Blair County, Pennsylvania"
62.44%,"Bradford County, Pennsylvania"
65.87%,"Bucks County, Pennsylvania"
45.93%,"Butler County, Pennsylvania"
58.39%,"Cambria County, Pennsylvania"
70.54%,"Cameron County, Pennsylvania"
71.66%,"Carbon County, Pennsylvania"
60.56%,"Centre County, Pennsylvania"
77.03%,"Chester County, Pennsylvania"
48.08%,"Clarion County, Pennsylvania"
37.62%,"Clearfield County, Pennsylvania"
61.79%,"Clinton County, Pennsylvania"
50.00%,"Columbia County, Pennsylvania"
69.82%,"Crawford County, Pennsylvania"
73.81%,"Cumberland County, Pennsylvania"
15.50%,"Dauphin County, Pennsylvania"
61.52%,"Delaware County, Pennsylvania"
80.33%,"Elk County, Pennsylvania"
70.02%,"Erie County, Pennsylvania"
71.70%,"Fayette County, Pennsylvania"
76.54%,"Forest County, Pennsylvania"
